time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
10307,122880,60,11,58.12,-457.55400742,0.00039033344,0.3036718834191561,846.2046905517578,590,0.29326754808425903,1.1920928955078125e-07,-0.3557057440280914,0.14599611,399.1695556640625,0.0320777684659697,0.3,,
10477,124928,61,11,54.45,-426.64788286000004,0.0003901696,0.17507812902331352,947.7403228759765,600,0.29754823446273804,-1.0967254638671875e-05,-0.401880156993866,0.011150718,468.9991455078125,0.011999086952564575,0.3,,
10643,126976,62,11,54.59,-451.09402383,0.00039000576,0.01880208376678638,749.1747619628907,610,0.2990615963935852,6.377696990966797e-06,-0.4186785236001015,0.008949537,383.0459899902344,-0.002244018852652552,0.3,,
10811,129024,63,11,56.54,-479.98932376,0.00038984192000000005,0.02515625018859282,731.7797210693359,620,0.30056944489479065,1.8477439880371094e-06,-0.42800645530223846,0.011137726,358.3619384765625,-0.004930997988558427,0.3,,
10988,131072,64,11,56.35,-473.13000208000005,0.00038967808,0.016054687899304552,707.6931732177734,630,0.30248135328292847,2.384185791015625e-07,-0.4394380018115044,0.003107898,355.980712890625,-0.0026199142003315522,0.3,,
11170,133120,65,11,55.4,-459.27687059000004,0.00038951424000000006,0.12178385711740702,748.4606506347657,640,0.30513688921928406,9.5367431640625e-07,-0.4542992264032364,0.04404306,362.428466796875,0.004353688407427403,0.3,,
11357,135168,66,11,46.81,-374.8449602399999,0.00038935040000000003,0.19235677495598794,802.7239349365234,650,0.3077831268310547,2.980232238769531e-07,-0.47270123809576037,0.011055091,407.3788757324219,0.01245982937281953,0.3,,
11529,137216,67,11,42.5,-331.19234934,0.00038918656,0.03722656366880983,940.7326202392578,660,0.30884766578674316,1.4007091522216797e-05,-0.48501604199409487,0.009400887,466.40179443359375,-0.0017522985292816873,0.3,,
11691,139264,68,11,46.99,-381.34832862,0.00038902272000000004,0.06927083558402955,901.3460296630859,670,0.30995479226112366,0.0010767579078674316,-0.49103201925754547,0.010640228,451.1227111816406,-0.008120577422087072,0.3,,
,140000,,,,,0.00038885888,0.04347656369209289,745.4216918945312,680,0.3117063343524933,4.470348358154297e-06,-0.5009025111794472,0.0091883615,382.46343994140625,-0.005026402495823312,0.3,-334.7543637417257,43.2
11886,141312,69,11,50.1,-422.33487382999994,,,,,,,,,,,,,
12070,143360,70,11,46.4,-380.29703279999995,0.00038869504,0.05824218846391886,662.2723968505859,690,0.31196051836013794,0.0007707476615905762,-0.5079603761434555,0.025291402,294.1375427246094,-0.002784601663879549,0.3,,
12244,145408,71,11,43.38,-346.4139534600001,0.0003885312,0.08332031372992788,519.4906478881836,700,0.3119499981403351,0.37745845317840576,-0.5078988820314407,0.01908756,222.940673828125,-0.00659171089006122,0.3,,
12438,147456,72,11,39.21,-310.92943619,0.00038836736,0.05023437598720193,534.5540481567383,710,0.31196755170822144,0.48367583751678467,-0.5080032020807266,0.011417696,239.8261260986328,0.005269647802997479,0.3,,
12621,149504,73,11,29.8,-210.15351096999999,0.00038820352,0.03490885489736684,477.26509552001954,720,0.31193071603775024,0.5727580785751343,-0.5079944998025894,0.010043692,227.39353942871094,-0.0027456781049841174,0.3,,
