time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,eval/mean_ep_length,eval/mean_reward
5062,47192,185.48,0.0003,8.416204452514648,-10.805781364440918,125.62759997,47091,9,376,,
5119,47743,187.06,0.0003,6.033736228942871,-9.668425559997559,116.50378161,47642,9,380,,
5287,49352,190.91,0.0003,4.444263935089111,-10.285917282104492,104.81257796000001,49251,9,384,,
5385,50259,189.42,0.0003,4.729307174682617,-10.76727294921875,104.37697599000003,50158,9,388,,
5548,51691,197.27,0.0003,4.368502140045166,-11.433462142944336,111.08892275999999,51590,9,392,,
5667,52761,202.92,0.0003,5.923618793487549,-13.414037704467773,101.76455684000003,52660,9,396,,
5751,53574,203.71,0.0003,4.236608505249023,-11.482939720153809,119.16514885000001,53473,9,400,,
5857,54521,208.55,0.0003,5.749977111816406,-10.68297004699707,115.78359875,54420,9,404,,
5953,55526,217.82,0.0003,6.081134796142578,-10.638978958129883,130.64412227,55425,9,408,,
6032,56370,212.97,0.0003,5.155708312988281,-12.954888343811035,122.22689460000001,56269,9,412,,
6210,57984,223.78,0.0003,4.809046745300293,-11.978598594665527,134.39562663000004,57883,9,416,,
6279,58662,223.58,0.0003,6.943012237548828,-13.091348648071289,145.77076276,58561,9,420,,
6325,59175,224.83,0.0003,4.675588607788086,-11.016820907592773,151.51519653999998,59074,9,424,,
6437,60218,231.66,0.0003,5.372951507568359,-13.625006675720215,166.40319874,60117,9,428,,
6455,60375,224.62,0.0003,4.134964466094971,-11.036487579345703,157.99972217,60274,9,432,,
6613,61849,237.13,0.0003,5.044473648071289,-12.78662395477295,173.22390113,61748,9,436,,
6761,63304,245.51,0.0003,3.80391788482666,-14.689784049987793,181.61213546000002,63203,9,440,,
6890,64536,248.31,0.0003,4.751276016235352,-12.077075958251953,175.48073495,64435,9,444,,
6953,65118,252.31,0.0003,5.7862772941589355,-11.742301940917969,182.25175567,65017,9,448,,
7139,66927,258.7,0.0003,4.582939147949219,-13.455498695373535,205.31966199000001,66826,9,452,,
7229,67772,260.26,0.0003,4.489912986755371,-14.364137649536133,212.5956942,67671,9,456,,
7346,68859,264.13,0.0003,4.952728271484375,-12.997671127319336,219.36600738,68758,9,460,,
7391,69238,258.62,0.0003,4.5658063888549805,-14.12717056274414,210.02168054999999,69137,9,464,,
7414,69441,251.41,0.0003,4.941092491149902,-12.25368881225586,200.51426364000002,69340,9,468,,
7474,70021,245.87,0.0003,7.347914218902588,-13.945046424865723,188.60606119000005,69920,9,472,,
7583,70994,238.02,0.0003,5.429947853088379,-12.115118026733398,175.05463365,70893,9,476,,
7655,71609,238.66,0.0003,4.630188941955566,-13.201818466186523,181.54384153999996,71508,9,480,,
7772,72646,232.94,0.0003,5.684884548187256,-13.25693416595459,186.66135776999997,72545,9,484,,
7827,73191,229.32,0.0003,4.9507246017456055,-14.034870147705078,181.27753321999998,73090,9,488,,
7909,73893,222.02,0.0003,6.037562370300293,-13.365772247314453,181.90250851000002,73792,9,492,,
7968,74468,217.07,0.0003,4.460947036743164,-11.722427368164062,189.79540655999998,74367,9,496,,
8093,75576,220.02,0.0003,4.53815221786499,-14.830450057983398,192.14508010999995,75475,9,500,,
8187,76473,219.52,0.0003,4.032889366149902,-12.969661712646484,199.98310909999992,76372,9,504,,
8311,77590,220.64,0.0003,7.948042392730713,-13.312944412231445,203.92020127999996,77489,9,508,,
8412,78644,222.74,0.0003,2.7260544300079346,-14.180608749389648,215.13762647,78543,9,512,,
8593,80231,222.47,0.0003,4.244232654571533,-14.615997314453125,213.59116586999997,80130,9,516,,
8639,80613,219.51,0.0003,3.0830225944519043,-16.20652198791504,209.73181442,80512,9,520,,
8806,82122,229.47,0.0003,4.1034417152404785,-13.964825630187988,208.10044908999996,82021,9,524,,
8895,82876,226.58,0.0003,3.263972282409668,-14.452585220336914,204.05223317000002,82775,9,528,,
8974,83623,232.48,0.0003,4.241600036621094,-14.122291564941406,211.07450110999997,83522,9,532,,
9168,85418,235.69,0.0003,5.235519886016846,-13.404794692993164,223.06841975999995,85317,9,536,,
9255,86226,229.22,0.0003,3.3233299255371094,-15.151640892028809,216.86130428000004,86125,9,540,,
9287,86501,219.65,0.0003,3.1608121395111084,-15.343019485473633,209.92776843,86400,9,544,,
9473,88253,231.35,0.0003,3.945587635040283,-13.132667541503906,234.78403875,88152,9,548,,
9557,89083,221.56,0.0003,4.427069664001465,-12.629894256591797,220.36906717000002,88982,9,552,,
9691,90515,227.43,0.0003,6.131834983825684,-14.251206398010254,224.17835687,90414,9,556,,
9784,91530,226.71,0.0003,5.3318963050842285,-14.582388877868652,201.15236735000002,91429,9,560,,
9994,93807,245.69,0.0003,5.901148319244385,-13.946432113647461,241.79933308,93706,9,564,,
10052,94477,250.36,0.0003,6.794689178466797,-14.703224182128906,241.59978719999995,94376,9,568,,
10168,95743,257.22,0.0003,7.9876508712768555,-13.75279426574707,248.51010659999992,95642,9,572,,
10253,96311,253.17,0.0003,4.32818078994751,-13.429906845092773,252.98107629999998,96210,9,576,,
10327,97075,254.66,0.0003,4.022289276123047,-14.51891040802002,261.99854282,96974,9,580,,
10440,98239,255.93,0.0003,4.414551734924316,-14.168889999389648,267.92354543000005,98138,9,584,,
10525,99136,259.45,0.0003,5.844270706176758,-14.995882034301758,275.81060598000005,99035,9,588,,
,100000,,0.0003,5.816187858581543,-15.337199211120605,,99899,,,658.2,1150.1987379999998
10969,100396,265.03,0.0003,4.87872314453125,-14.218929290771484,281.0320226,100295,9,592,,
11077,101460,269.92,0.0003,5.07083797454834,-15.815570831298828,280.52644294,101359,9,596,,
11207,102928,273.52,0.0003,6.303524017333984,-15.385661125183105,281.05087062,102827,9,600,,
11320,104212,277.39,0.0003,4.418066024780273,-16.15660858154297,293.15450810999994,104111,9,604,,
11366,104786,271.96,0.0003,2.9087769985198975,-16.002246856689453,272.64935582,104685,9,608,,
11389,105024,263.8,0.0003,4.471137046813965,-15.176889419555664,253.54345508000003,104923,9,612,,
11463,105908,256.77,0.0003,4.452963829040527,-16.458805084228516,238.06337789999998,105807,9,616,,
11595,107318,267.05,0.0003,5.348860740661621,-15.818613052368164,256.48200886,107217,9,620,,
11758,108978,268.56,0.0003,3.4618911743164062,-16.6594295501709,277.56419444999995,108877,9,624,,
11826,109709,268.33,0.0003,5.203573703765869,-16.541107177734375,275.62444202,109608,9,628,,
11878,110218,265.95,0.0003,3.2442874908447266,-17.759937286376953,276.79108074,110117,9,632,,
11942,110889,254.71,0.0003,5.935956001281738,-15.024161338806152,258.23866534999996,110788,9,636,,
12051,111926,257.0,0.0003,4.011472702026367,-15.901020050048828,262.35861700000004,111825,9,640,,
12107,112414,259.13,0.0003,5.014212608337402,-17.62899398803711,266.52318752,112313,9,644,,
12167,113045,247.92,0.0003,3.922464609146118,-16.841754913330078,248.15699807,112944,9,648,,
12290,114254,251.71,0.0003,2.69553542137146,-15.382927894592285,262.5882744,114153,9,652,,
12416,115586,250.71,0.0003,4.504350662231445,-17.88958168029785,268.21892568999994,115485,9,656,,
12607,117553,260.23,0.0003,5.233043670654297,-17.97174835205078,313.92505596,117452,9,660,,
12738,118936,251.29,0.0003,4.040010452270508,-16.29254722595215,292.44184945,118835,9,664,,
12921,120819,263.42,0.0003,6.250513076782227,-16.501171112060547,316.83032944999997,120718,9,668,,
13002,121580,258.37,0.0003,3.646486520767212,-19.226993560791016,319.04586452,121479,9,672,,
13159,123196,268.85,0.0003,4.175142765045166,-17.350542068481445,336.69469332999995,123095,9,676,,
13234,123958,268.83,0.0003,4.530734539031982,-18.513530731201172,328.04760842999997,123857,9,680,,
13365,125317,270.78,0.0003,4.333522796630859,-17.679216384887695,322.00368662,125216,9,684,,
13566,127383,282.47,0.0003,3.2163102626800537,-18.321069717407227,326.55610447000004,127282,9,688,,
13594,127649,272.53,0.0003,3.952208995819092,-18.46884536743164,311.03940822,127548,9,692,,
13725,128998,275.38,0.0003,3.2102997303009033,-17.824752807617188,315.09928784000004,128897,9,696,,
13773,129497,265.69,0.0003,4.733042240142822,-16.567378997802734,303.36074204,129396,9,700,,
13937,131215,270.03,0.0003,3.7237491607666016,-17.848482131958008,308.14658267000004,131114,9,704,,
14050,132303,275.17,0.0003,5.685364246368408,-17.388477325439453,327.26151467,132202,9,708,,
14190,133848,288.24,0.0003,3.6728103160858154,-17.531965255737305,340.83764071999997,133747,9,712,,
14351,135528,296.2,0.0003,4.672837257385254,-17.677040100097656,368.12023841,135427,9,716,,
14464,136678,293.6,0.0003,2.9809277057647705,-17.684803009033203,361.63498632000005,136577,9,720,,
