train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
0.00035,7,41990,802.77,324193,2096.79894983,888,1.3998417854309082,324092,-30.925609588623047,,
0.00035,7,42392,815.17,328193,2158.15309097,892,1.5920743942260742,328092,-31.20819664001465,,
0.00035,7,42698,824.89,331206,2190.08181774,896,5.969565391540527,331105,-31.524974822998047,,
0.00035,7,43077,827.3,334831,2207.48041597,900,2.234288215637207,334730,-31.48981285095215,,
0.00035,7,43456,837.89,338367,2252.29810906,904,2.3345866203308105,338266,-31.460712432861328,,
0.00035,7,43839,836.54,342234,2247.1684753600002,908,5.61737060546875,342133,-31.522262573242188,,
0.00035,7,44100,836.54,344941,2250.1616271700004,912,2.3758888244628906,344840,-31.760311126708984,,
0.00035,7,44396,827.68,347956,2220.3815837200004,916,1.771889567375183,347855,-31.504497528076172,,
0.00035,7,44801,835.54,351956,2253.92071143,920,0.9391312599182129,351855,-30.737415313720703,,
0.00035,7,45102,829.7,354842,2258.63807032,924,1.2324132919311523,354741,-31.790599822998047,,
0.00035,7,45515,844.41,358842,2322.02970189,928,1.734846830368042,358741,-31.660274505615234,,
0.00035,7,45913,864.85,362661,2402.43133839,932,1.5407288074493408,362560,-31.275117874145508,,
0.00035,7,46195,867.41,365478,2424.05723519,936,3.9707744121551514,365377,-31.77396011352539,,
0.00035,7,46536,867.23,368925,2418.73269205,940,1.8980255126953125,368824,-31.68582534790039,,
0.00035,7,46901,868.09,372686,2428.4925585799997,944,2.444753646850586,372585,-31.244369506835938,,
0.00035,7,47212,858.78,375699,2403.9363366999996,948,2.1245381832122803,375598,-32.021087646484375,,
0.00035,7,47462,842.9,378111,2374.08171555,952,2.8614981174468994,378010,-31.38955307006836,,
0.00035,7,47827,829.62,380148,2357.75597896,956,1.1711575984954834,380047,-30.619625091552734,,
0.00035,7,49028,822.21,383650,2345.3567813899995,960,1.3308916091918945,383549,-32.465126037597656,,
0.00035,7,49327,827.5,386664,2368.5523709999998,964,1.6310255527496338,386563,-32.35005187988281,,
0.00035,7,50738,820.59,389976,2356.14007613,968,8.687884330749512,389875,-31.045482635498047,,
0.00035,7,51284,819.62,393473,2357.20468624,972,0.8757771849632263,393372,-32.40592575073242,,
0.00035,7,51887,831.45,397428,2390.26078165,976,10.179292678833008,397327,-31.615745544433594,,
0.00035,,,,400000,,,1.816516399383545,399899,-32.169189453125,2346.1046982,723.4
0.00035,7,53146,840.23,402000,2428.29702474,980,0.9459702372550964,401899,-32.517608642578125,,
0.00035,7,53518,825.9,404370,2387.96635826,984,1.8727517127990723,404269,-32.51770782470703,,
0.00035,7,54048,834.84,407677,2413.25052253,988,1.569507122039795,407576,-32.35723114013672,,
0.00035,7,54689,834.84,411677,2416.28434388,992,0.6113412380218506,411576,-32.722381591796875,,
0.00035,7,55179,836.84,414890,2416.17908023,996,1.0346875190734863,414789,-33.14565658569336,,
