train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,time/episodes,eval/mean_reward,eval/mean_ep_length
-17.027645111083984,102.32383175,10.388753890991211,4175,50706,50605,12,0.00035,131.15,452,,
-17.089649200439453,93.68782014,10.100469589233398,4196,50964,50863,12,0.00035,131.52,456,,
-16.991336822509766,98.01500259000001,5.570713520050049,4267,51949,51848,12,0.00035,132.51,460,,
-18.507774353027344,105.19840206,8.260934829711914,4307,52438,52337,12,0.00035,136.26,464,,
-16.833053588867188,113.17144701000001,6.871920585632324,4342,52913,52812,12,0.00035,136.54,468,,
-16.53761863708496,104.26326353,8.50014591217041,4369,53278,53177,12,0.00035,129.19,472,,
-17.780406951904297,94.13964731999998,7.69828987121582,4430,54085,53984,12,0.00035,131.85,476,,
-17.750295639038086,102.07024315999999,11.750553131103516,4477,54728,54627,12,0.00035,135.43,480,,
-18.29623794555664,110.68830082000001,12.28542423248291,4517,55289,55188,12,0.00035,139.13,484,,
-18.963823318481445,121.65891269,7.991344928741455,4572,56026,55925,12,0.00035,143.66,488,,
-16.743309020996094,128.10591918,7.227988243103027,4643,56918,56817,12,0.00035,148.89,492,,
-17.878746032714844,131.14947887,9.994516372680664,4679,57399,57298,12,0.00035,149.8,496,,
-18.957393646240234,139.24591842,6.896940231323242,4743,58203,58102,12,0.00035,155.08,500,,
-17.129920959472656,148.49437055,6.480528831481934,4794,58890,58789,12,0.00035,157.41,504,,
-17.48011016845703,148.14401598,10.122157096862793,4858,59754,59653,12,0.00035,160.31,508,,
-18.86927032470703,140.57335327,10.244455337524414,4889,60171,60070,12,0.00035,158.77,512,,
-18.52887725830078,118.34155279999999,8.733114242553711,4916,60495,60394,12,0.00035,146.7,516,,
-18.382707595825195,102.51919326000001,8.007732391357422,4922,60543,60442,12,0.00035,137.34,520,,
-18.535818099975586,114.49813273000004,9.847423553466797,5011,61651,61550,12,0.00035,145.35,524,,
-18.905555725097656,109.26442645999998,5.727726936340332,5041,61983,61882,12,0.00035,143.41,528,,
-18.63446807861328,120.59129675,10.738365173339844,5097,62784,62683,12,0.00035,147.88,532,,
-18.67612648010254,117.22228998,15.278656005859375,5161,63675,63574,12,0.00035,152.38,536,,
-17.946792602539062,123.31528843,9.24074935913086,5196,64123,64022,12,0.00035,155.91,540,,
-18.000362396240234,119.61572508,9.29953384399414,5255,64945,64844,12,0.00035,157.01,544,,
-19.22393226623535,122.47555197000001,9.573115348815918,5293,65465,65364,12,0.00035,156.09,548,,
-19.228750228881836,118.16671986999998,8.61715030670166,5309,65590,65489,12,0.00035,148.84,552,,
-19.281147003173828,153.76173786,10.255990982055664,5433,67180,67079,12,0.00035,162.16,556,,
-19.146526336669922,167.50862884000003,9.803279876708984,5531,68364,68263,12,0.00035,164.15,560,,
-19.189666748046875,161.63335384,10.438150405883789,5582,68972,68871,12,0.00035,165.34,564,,
-20.02176284790039,168.13540064999998,6.858284950256348,5659,69954,69853,12,0.00035,170.41,568,,
-19.436433792114258,157.88685621,11.802078247070312,5726,70670,70569,12,0.00035,173.92,572,,
-17.886619567871094,181.53176339000004,6.387273788452148,5827,71874,71773,12,0.00035,177.89,576,,
-17.76597785949707,176.56092956,12.053801536560059,5864,72367,72266,12,0.00035,176.39,580,,
-19.35504913330078,173.48992416000002,8.998501777648926,5916,72995,72894,12,0.00035,177.06,584,,
-18.698171615600586,172.56346882999998,9.150017738342285,5976,73667,73566,12,0.00035,176.41,588,,
-19.563913345336914,189.64327974999998,9.948318481445312,6077,74908,74807,12,0.00035,179.9,592,,
-18.269573211669922,182.49646891,7.799203872680664,6105,75217,75116,12,0.00035,178.18,596,,
-19.29003143310547,177.56636403000005,8.889713287353516,6153,75712,75611,12,0.00035,175.09,600,,
-19.062946319580078,171.30509064999998,10.132658004760742,6180,76083,75982,12,0.00035,171.93,604,,
-17.25088119506836,169.84256125999997,8.845951080322266,6222,76532,76431,12,0.00035,167.78,608,,
-20.09884262084961,189.0774318,11.496360778808594,6307,77588,77487,12,0.00035,174.17,612,,
-18.73719024658203,205.38270953,8.180026054382324,6383,78535,78434,12,0.00035,180.4,616,,
-18.57828140258789,219.42451379000002,8.937623023986816,6433,79154,79053,12,0.00035,186.11,620,,
-18.526201248168945,204.34076549000008,7.842502593994141,6443,79269,79168,12,0.00035,176.18,624,,
-18.668424606323242,202.50333147,8.690692901611328,6467,79456,79355,12,0.00035,174.73,628,,
-19.39879608154297,199.85343303999997,11.291435241699219,6530,80215,80114,12,0.00035,174.31,632,,
-20.012954711914062,209.15672385999997,10.609033584594727,6590,80972,80871,12,0.00035,172.97,636,,
-19.827917098999023,226.58194527000003,11.367369651794434,6692,82269,82168,12,0.00035,181.46,640,,
-18.618328094482422,230.84712390000004,8.492029190063477,6742,82835,82734,12,0.00035,178.9,644,,
-19.81556510925293,244.89438207999999,14.096600532531738,6806,83642,83541,12,0.00035,181.77,648,,
-20.294374465942383,254.36844455000005,7.110191822052002,6880,84516,84415,12,0.00035,189.26,652,,
-18.940773010253906,224.42849477999997,8.021221160888672,6889,84605,84504,12,0.00035,174.25,656,,
-19.461841583251953,203.90511681,6.200582981109619,6897,84677,84576,12,0.00035,163.13,660,,
-19.097652435302734,209.6545757,6.078834533691406,6945,85289,85188,12,0.00035,163.17,664,,
-19.89720916748047,194.13385909000004,7.33063268661499,6956,85408,85307,12,0.00035,154.54,668,,
-20.226551055908203,221.98783484,7.856789588928223,7075,86895,86794,12,0.00035,162.25,672,,
-20.839752197265625,222.18988492000005,8.50836181640625,7178,88159,88058,12,0.00035,162.85,676,,
-18.995820999145508,228.61591166,6.173584938049316,7241,89011,88910,12,0.00035,166.44,680,,
-21.024335861206055,232.70693942000003,6.559708595275879,7313,89917,89816,12,0.00035,169.22,684,,
-19.896713256835938,229.87392549,5.978178024291992,7357,90504,90403,12,0.00035,168.37,688,,
-19.97954750061035,226.63549993,7.3977508544921875,7436,91546,91445,12,0.00035,166.38,692,,
-19.08880615234375,274.40125577000003,6.326841831207275,7606,93779,93678,12,0.00035,185.62,696,,
-19.428499221801758,297.30296104999996,11.921265602111816,7747,95579,95478,12,0.00035,198.67,700,,
-20.43877601623535,317.12970449,7.276351451873779,7836,96747,96646,12,0.00035,206.64,704,,
-20.84024429321289,316.26365737000003,8.480619430541992,7894,97529,97428,12,0.00035,209.97,708,,
-20.607189178466797,324.24674094,6.460020542144775,8009,99055,98954,12,0.00035,214.67,712,,
-18.203340530395508,,5.685243606567383,,100000,99899,,0.00035,,,125.46078360000001,99.6
-20.852886199951172,327.51909466999996,6.876400947570801,8128,100048,99947,12,0.00035,215.13,716,,
-20.77198028564453,337.21071888,7.759532451629639,8253,101202,101101,12,0.00035,220.48,720,,
-19.286869049072266,348.88860294,9.04997730255127,8302,101805,101704,12,0.00035,225.36,724,,
-19.760841369628906,350.56558607,8.281179428100586,8336,102228,102127,12,0.00035,227.72,728,,
-20.76163101196289,352.7957871300001,14.671281814575195,8391,102898,102797,12,0.00035,226.83,732,,
-20.183101654052734,348.21072284999997,12.138102531433105,8455,103735,103634,12,0.00035,227.63,736,,
-21.13427734375,332.58592085,10.240124702453613,8494,104224,104123,12,0.00035,219.55,740,,
-21.886795043945312,337.17279144,5.691104888916016,8557,104969,104868,12,0.00035,221.34,744,,
-20.68158721923828,329.95422441000005,10.947114944458008,8597,105490,105389,12,0.00035,218.48,748,,
-22.294450759887695,327.08477576000007,6.27280330657959,8630,105930,105829,12,0.00035,214.14,752,,
-21.710975646972656,338.7078059199999,5.353338241577148,8717,107051,106950,12,0.00035,224.46,756,,
-20.411849975585938,352.22322163000007,5.060640335083008,8769,107738,107637,12,0.00035,230.61,760,,
-21.123300552368164,374.26817439,7.887379169464111,8880,109169,109068,12,0.00035,238.8,764,,
-20.928489685058594,389.46906576999993,5.343905925750732,8937,109877,109776,12,0.00035,244.69,768,,
-20.669208526611328,404.57078746,13.675148010253906,9083,111603,111502,12,0.00035,247.08,772,,
-22.57395362854004,416.71101878999997,5.033609390258789,9199,113132,113031,12,0.00035,249.73,776,,
-20.793922424316406,407.73907966999997,4.891745567321777,9221,113420,113319,12,0.00035,244.09,780,,
-22.16398048400879,396.3874676300001,4.562321662902832,9231,113514,113413,12,0.00035,235.97,784,,
-20.319944381713867,411.90294189,7.259138584136963,9314,114558,114457,12,0.00035,240.54,788,,
-22.01241111755371,421.01497535999994,5.3118391036987305,9418,115914,115813,12,0.00035,243.68,792,,
-22.432022094726562,414.99980518999996,7.393158435821533,9569,117820,117719,12,0.00035,240.41,796,,
-22.322673797607422,446.01762783000004,12.141382217407227,9786,120664,120563,12,0.00035,250.85,800,,
-22.087554931640625,460.69457205,3.4269626140594482,9899,122138,122037,12,0.00035,253.91,804,,
-22.583301544189453,466.01903490999996,8.608541488647461,9961,122950,122849,12,0.00035,254.21,808,,
-23.05681037902832,503.7177850599999,7.272653579711914,10172,125655,125554,12,0.00035,266.0,812,,
-23.53542709350586,575.17753529,4.323379993438721,10457,129346,129245,12,0.00035,292.98,816,,
-22.82590103149414,597.94073764,6.882658004760742,10628,131472,131371,12,0.00035,302.7,820,,
-22.956857681274414,626.97683452,4.061496734619141,10785,133517,133416,12,0.00035,317.12,824,,
-24.314973831176758,653.21861484,4.09018611907959,10915,135099,134998,12,0.00035,328.71,828,,
-24.08858871459961,649.47603367,7.178253173828125,10956,135597,135496,12,0.00035,326.99,832,,
-22.6103515625,658.00214456,7.91551399230957,11049,136688,136587,12,0.00035,329.53,836,,
-23.735733032226562,709.1482163000001,5.5705156326293945,11253,139207,139106,12,0.00035,349.83,840,,
-24.441329956054688,734.4529012900001,8.940869331359863,11379,140803,140702,12,0.00035,358.34,844,,
-22.5943546295166,793.4160781600002,6.366061210632324,11599,143655,143554,12,0.00035,381.65,848,,
-23.714691162109375,812.5669621600002,6.117866039276123,11694,144892,144791,12,0.00035,389.62,852,,
-24.099306106567383,848.8030782700001,5.3798723220825195,11858,147032,146931,12,0.00035,399.81,856,,
