train/n_updates,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes,eval/mean_reward,eval/mean_ep_length
9620,2.875324249267578,0.22578270733356476,19341,0.11177946627140045,8.377328872680664,8,2201,0.0003,592,,
9806,3.7654664516448975,0.09173059463500977,19714,0.11078841239213943,5.193714618682861,8,2240,0.0003,596,,
10008,3.3562142848968506,-0.08662091195583344,20118,0.11182098835706711,5.260639667510986,8,2288,0.0003,600,,
10373,2.6985132694244385,0.6563563942909241,20847,0.11428747326135635,5.919418811798096,8,2357,0.0003,604,,
10450,1.1051092147827148,-0.08767304569482803,21002,0.11476179212331772,5.05062198638916,8,2371,0.0003,608,,
10657,1.520606517791748,-0.30572596192359924,21416,0.11575153470039368,4.797877788543701,8,2407,0.0003,612,,
10733,0.013078182935714722,-0.4171724319458008,21568,0.11576864868402481,4.079409122467041,8,2424,0.0003,616,,
10848,1.4197837114334106,0.20406876504421234,21798,0.11587636172771454,7.364537239074707,8,2448,0.0003,620,,
11018,1.6895434856414795,0.40553855895996094,22137,0.1164129376411438,6.400888442993164,8,2479,0.0003,624,,
11618,1.5219471454620361,-0.17265817523002625,23337,0.11693310737609863,6.622519493103027,9,2589,0.0003,628,,
11915,1.3610913753509521,-0.10808517038822174,23932,0.1176142767071724,6.525845527648926,9,2648,0.0003,632,,
12190,-0.1382196843624115,0.05059175193309784,24481,0.11875910311937332,6.7586669921875,9,2706,0.0003,636,,
12674,-1.0683867931365967,-0.5779540538787842,25449,0.11824224889278412,6.432933807373047,9,2800,0.0003,640,,
13059,-0.41412845253944397,0.04937092214822769,26219,0.11653197556734085,4.3975043296813965,9,2877,0.0003,644,,
13352,-0.90826416015625,-0.2827706038951874,26806,0.1172293946146965,5.432474136352539,9,2936,0.0003,648,,
13616,-0.2533096671104431,-0.09781355410814285,27334,0.11581239849328995,3.7374234199523926,9,2991,0.0003,652,,
14864,-0.7578554749488831,0.22690944373607635,29829,0.11757426708936691,4.641689300537109,9,3208,0.0003,656,,
15635,-0.9653156995773315,0.2702524662017822,31372,0.12103604525327682,5.078993797302246,9,3339,0.0003,660,,
16960,-2.8943605422973633,-0.09144781529903412,34022,0.11970455944538116,6.714005470275879,9,3577,0.0003,664,,
17983,-3.8239922523498535,0.1055857464671135,36068,0.12056604027748108,3.706618547439575,9,3759,0.0003,668,,
18924,-3.476801872253418,0.3544448912143707,37949,0.11887598782777786,3.445852756500244,9,3918,0.0003,672,,
19618,-2.683858871459961,0.41872215270996094,39338,0.11645621061325073,3.5650582313537598,9,4050,0.0003,676,,
20371,-4.616273880004883,0.22269666194915771,40844,0.1180925965309143,4.059674263000488,9,4204,0.0003,680,,
20915,-5.631553649902344,-0.5966435670852661,41932,0.11941798776388168,2.4925451278686523,9,4303,0.0003,684,,
21708,-3.853621006011963,0.0751173123717308,43517,0.1150868609547615,3.02348256111145,9,4450,0.0003,688,,
21808,-4.548700332641602,0.37995296716690063,43718,0.11485154181718826,6.25705623626709,9,4470,0.0003,692,,
22895,-5.235964298248291,0.04547853022813797,45891,0.11618160456418991,6.577857971191406,9,4671,0.0003,696,,
23648,-6.326772689819336,-0.28369587659835815,47397,0.11790160089731216,4.653024673461914,9,4817,0.0003,700,,
25490,-7.515569686889648,0.015673693269491196,51082,0.11524267494678497,3.2002222537994385,9,5134,0.0003,704,,
26995,-8.208590507507324,-0.07670603692531586,54092,0.11297862976789474,4.4419026374816895,10,5401,0.0003,708,,
28019,-8.67827033996582,-0.26273995637893677,56139,0.11071228235960007,3.173845052719116,10,5570,0.0003,712,,
28978,-9.807374954223633,0.08950817584991455,58057,0.11125287413597107,1.696415901184082,10,5737,0.0003,716,,
30978,-9.436942100524902,-0.21836072206497192,62057,0.10860465466976166,3.160897970199585,10,6087,0.0003,720,,
32378,-9.895648002624512,0.08390162885189056,64857,0.10887134820222855,2.8036627769470215,10,6331,0.0003,724,,
34378,-10.994362831115723,0.15031033754348755,68857,0.10850389301776886,2.629161834716797,10,6678,0.0003,728,,
35862,-9.189046859741211,0.33331233263015747,71825,0.10568270832300186,3.1994779109954834,10,6934,0.0003,732,,
37434,-10.107030868530273,0.4382116496562958,74970,0.10490389168262482,2.8774843215942383,10,7214,0.0003,736,,
39347,-10.508642196655273,-0.027839303016662598,78795,0.10895760357379913,3.8376405239105225,10,7547,0.0003,740,,
