rollout/ep_len_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,eval/mean_reward,eval/mean_ep_length
14.53,10.579620361328125,11660,11761,-27.14276382,1741,0.0003,6,764,6.2927045822143555,,
14.49,10.811430931091309,11715,11816,-27.90135555000001,1748,0.0003,6,768,6.55378532409668,,
14.67,10.218944549560547,11803,11904,-29.25410554,1758,0.0003,6,772,7.296309471130371,,
14.96,10.996221542358398,11889,11990,-31.700636600000003,1773,0.0003,6,776,6.996171474456787,,
15.04,11.124837875366211,11968,12069,-31.484728809999996,1781,0.0003,6,780,6.540560722351074,,
15.14,11.50057315826416,12030,12131,-30.188127229999996,1789,0.0003,6,784,5.267200469970703,,
15.29,11.178337097167969,12102,12203,-29.21115183,1797,0.0003,6,788,5.310007095336914,,
15.29,10.535181045532227,12156,12257,-27.551257850000006,1804,0.0003,6,792,5.937619209289551,,
15.37,10.267912864685059,12219,12320,-27.10658257,1812,0.0003,6,796,5.9496660232543945,,
15.46,10.588909149169922,12281,12382,-26.454544410000004,1825,0.0003,6,800,5.548845291137695,,
15.4,10.310447692871094,12341,12442,-27.13779036,1833,0.0003,6,804,7.20782470703125,,
15.43,10.170166015625,12400,12501,-27.85567952,1842,0.0003,6,808,5.367923736572266,,
15.38,11.24294662475586,12456,12557,-28.427184460000003,1849,0.0003,6,812,7.906707763671875,,
15.3,11.22974681854248,12498,12599,-28.914508289999993,1855,0.0003,6,816,4.454471111297607,,
15.15,11.203177452087402,12554,12655,-28.949192469999993,1863,0.0003,6,820,7.278733253479004,,
15.01,10.92972183227539,12607,12708,-29.002891249999998,1870,0.0003,6,824,6.34700345993042,,
14.98,11.207605361938477,12662,12763,-28.89485961999999,1883,0.0003,6,828,6.620409965515137,,
15.27,10.707917213439941,12746,12847,-28.91274367,1892,0.0003,6,832,7.799123764038086,,
15.14,10.881893157958984,12788,12889,-28.82258277,1898,0.0003,6,836,7.261953353881836,,
15.33,10.392053604125977,12860,12961,-29.50478555,1905,0.0003,6,840,5.783111572265625,,
