rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,eval/mean_ep_length,eval/mean_reward
-32.926252070000004,11.600273132324219,14714,992,0.0002,2111,7,14815,14.5,7.8335466384887695,,
-34.875895310000004,10.742877960205078,14775,996,0.0002,2118,7,14876,14.53,8.873486518859863,,
-36.537802320000004,11.658967971801758,14843,1000,0.0002,2131,7,14944,14.68,8.076927185058594,,
-37.52716144000001,11.773747444152832,14902,1004,0.0002,2138,7,15003,14.68,7.336053371429443,,
-37.38407699000001,11.107099533081055,14958,1008,0.0002,2144,7,15059,14.61,9.573208808898926,,
-37.21378198000001,10.297733306884766,15022,1012,0.0002,2152,7,15123,14.71,6.503405570983887,,
-37.582800510000006,10.500468254089355,15069,1016,0.0002,2157,7,15170,14.55,7.385721206665039,,
-37.52251847,11.416458129882812,15131,1020,0.0002,2164,7,15232,14.62,6.883988380432129,,
-35.847960070000006,11.81075668334961,15187,1024,0.0002,2170,7,15288,14.27,9.7222261428833,,
-35.7229092,11.139768600463867,15247,1028,0.0002,2183,7,15348,14.15,6.251380920410156,,
-35.21361443,11.838541030883789,15312,1032,0.0002,2191,7,15413,14.15,10.440865516662598,,
-33.80417919999999,11.704442977905273,15353,1036,0.0002,2197,7,15454,13.97,6.343048095703125,,
-34.267457160000006,11.377002716064453,15410,1040,0.0002,2204,7,15511,14.03,5.436539649963379,,
-34.16546687,10.392112731933594,15476,1044,0.0002,2212,7,15577,13.97,4.804224014282227,,
-34.413436759999996,11.957377433776855,15534,1048,0.0002,2218,7,15635,13.87,8.539974212646484,,
-34.69310154,10.566789627075195,15596,1052,0.0002,2231,7,15697,13.99,5.727017402648926,,
-34.33595425,11.224318504333496,15651,1056,0.0002,2237,7,15752,14.09,6.615701675415039,,
-33.50168431,11.08620834350586,15699,1060,0.0002,2243,7,15800,14.04,7.4487690925598145,,
-33.02422578,12.731654167175293,15773,1064,0.0002,2251,7,15874,14.29,8.320284843444824,,
-32.24775123999999,10.20931625366211,15836,1068,0.0002,2258,7,15937,14.31,7.045276165008545,,
-31.236854469999997,10.786766052246094,15890,1072,0.0002,2264,7,15991,14.33,6.58154296875,,
-31.31672364,10.827033042907715,15938,1076,0.0002,2275,7,16039,14.38,5.807029724121094,,
-30.338506099999996,11.842966079711914,15986,1080,0.0002,2281,7,16087,14.25,7.572187423706055,,
-31.44413747,10.773880958557129,16067,1084,0.0002,2291,7,16168,14.48,7.951565742492676,,
-31.201407259999996,11.693703651428223,16121,1088,0.0002,2297,7,16222,14.51,7.512690544128418,,
-30.917320629999995,11.014124870300293,16167,1092,0.0002,2303,7,16268,14.53,5.762104034423828,,
-30.08262327,11.288426399230957,16218,1096,0.0002,2309,7,16319,14.43,6.728344917297363,,
-29.27427059,10.387165069580078,16273,1100,0.0002,2321,7,16374,14.3,6.355849266052246,,
-29.187914219999996,10.448381423950195,16339,1104,0.0002,2329,7,16440,14.37,5.826988220214844,,
-29.85236942,10.54776668548584,16388,1108,0.0002,2336,7,16489,14.3,5.662166118621826,,
-30.982350710000002,10.555692672729492,16442,1112,0.0002,2343,7,16543,14.2,6.802131652832031,,
-31.588607300000003,10.320838928222656,16510,1116,0.0002,2351,7,16611,14.41,9.687433242797852,,
-32.62192841,10.2669677734375,16554,1120,0.0002,2358,7,16655,14.23,5.266051292419434,,
-33.80380197,10.546369552612305,16604,1124,0.0002,2364,7,16705,14.17,7.788077354431152,,
-33.77235137,11.741708755493164,16666,1128,0.0002,2378,7,16767,14.19,7.970992088317871,,
