time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
547038,0.1597360372543335,-21.50790023803711,816,0.0937221571803093,273468,0.0003,10,52454,0.5416988730430603,,
551038,-0.19254070520401,-21.142955780029297,820,0.0934545025229454,275468,0.0003,10,52765,1.0737110376358032,,
555038,-0.16591480374336243,-19.848426818847656,824,0.09187740087509155,277468,0.0003,10,53145,0.8341927528381348,,
559038,0.24172817170619965,-22.01529312133789,828,0.0938115119934082,279468,0.0003,10,53513,0.7439145445823669,,
562056,-0.39071032404899597,-20.15304183959961,832,0.09295308589935303,280977,0.0003,10,53798,0.48141905665397644,,
565069,-0.04196147620677948,-21.313304901123047,836,0.09129162132740021,282484,0.0003,10,54076,2.382439136505127,,
569069,0.39103859663009644,-22.233570098876953,840,0.09024415165185928,284484,0.0003,10,54448,1.9902873039245605,,
573069,-0.4912620484828949,-22.041797637939453,844,0.0883069783449173,286484,0.0003,10,54832,1.1051971912384033,,
576084,0.04792577028274536,-21.985668182373047,848,0.08663037419319153,287991,0.0003,10,55081,0.7100768089294434,,
580084,0.045120738446712494,-21.840221405029297,852,0.08844003826379776,289991,0.0003,10,55411,5.104879856109619,,
584084,-0.11253257095813751,-20.708358764648438,856,0.08895566314458847,291991,0.0003,10,55718,0.48714005947113037,,
587096,-0.1035345196723938,-21.873023986816406,860,0.08612226694822311,293497,0.0003,10,55969,5.4691009521484375,,
591096,0.4714386761188507,-22.017345428466797,864,0.0842382162809372,295497,0.0003,10,56289,0.34784239530563354,,
595096,-0.2938585877418518,-23.058876037597656,868,0.08574260026216507,297497,0.0003,10,56637,1.376197338104248,,
599096,-0.24460674822330475,-22.907133102416992,872,0.0854073166847229,299497,0.0003,10,56966,0.4182282090187073,,
600000,-0.4629485607147217,-20.817886352539062,,0.08714673668146133,299949,0.0003,,,1.011296033859253,1000.0,3367.1954636827345
603012,0.17165037989616394,-23.868202209472656,876,0.08419890701770782,301455,0.0003,10,57688,0.5424472093582153,,
607012,0.23205065727233887,-21.32312774658203,880,0.08401049673557281,303455,0.0003,10,58011,5.621576309204102,,
611012,0.06576087325811386,-22.043962478637695,884,0.08402600139379501,305455,0.0003,10,58350,1.6529804468154907,,
614020,-0.47995054721832275,-20.901775360107422,888,0.08302772045135498,306959,0.0003,10,58596,0.6295925974845886,,
