rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
2514.9583926599994,-30.594463348388672,887.83,3e-05,0.9259927272796631,13,283696,21206,943494,328,,
2524.98342861,-29.407129287719727,887.83,3e-05,4.681856632232666,13,287696,21483,947494,332,,
2551.45432492,-30.650226593017578,886.96,3e-05,0.8005167245864868,13,291696,21745,951494,336,,
2546.2667597299996,-31.260297775268555,886.62,3e-05,0.694438099861145,13,294733,21961,954531,340,,
2534.0370094200002,-31.41741371154785,886.62,3e-05,0.7059967517852783,13,298733,22253,958531,344,,
,-31.208295822143555,,3e-05,0.6833072304725647,,300000,,959798,,2253.4229138,820.6
2569.4817199199997,-30.975393295288086,899.21,3e-05,4.484722137451172,13,303000,22853,962798,348,,
2563.29651265,-31.733064651489258,898.55,3e-05,0.930553138256073,13,306934,23137,966732,352,,
2555.7602515000003,-32.31903076171875,898.55,3e-05,0.6338721513748169,13,310934,23419,970732,356,,
2573.6006633800002,-31.301233291625977,907.07,3e-05,0.8222082257270813,13,314934,23708,974732,360,,
2562.1308316500003,-31.187114715576172,907.07,3e-05,0.5557143092155457,13,318934,23995,978732,364,,
2559.03259033,-31.58032989501953,902.89,3e-05,1.1343296766281128,13,322052,24222,981850,368,,
2558.02812267,-30.853271484375,902.89,3e-05,0.7451503276824951,13,326052,24504,985850,372,,
2612.1689352199996,-30.032922744750977,919.99,3e-05,3.6035590171813965,13,330052,24795,989850,376,,
2611.3549866900003,-30.355670928955078,919.99,3e-05,3.684117555618286,13,334052,25086,993850,380,,
2588.04857115,-31.51783561706543,912.42,3e-05,0.6230118274688721,13,336442,25263,996240,384,,
2558.09561066,-30.388870239257812,902.08,3e-05,0.9567722082138062,13,338932,25443,998730,388,,
2540.6734729799996,-31.266921997070312,894.48,3e-05,6.174497604370117,13,342068,25671,1001866,392,,
2564.9779181599997,-31.47833251953125,901.3,3e-05,1.1881132125854492,13,346068,25963,1005866,396,,
2593.05050565,-31.384366989135742,908.4,3e-05,0.6419865489006042,13,350068,26248,1009866,400,,
2575.72593178,-30.925888061523438,900.99,3e-05,1.5622196197509766,13,353327,26482,1013125,404,,
2605.06908346,-30.601581573486328,907.21,3e-05,0.7157944440841675,13,357327,26772,1017125,408,,
2610.80826868,-30.11392593383789,908.6,3e-05,1.1793359518051147,13,361327,27057,1021125,412,,
2602.7628110400005,-31.169326782226562,908.6,3e-05,0.6428536772727966,13,365327,27346,1025125,416,,
2609.01551205,-31.167469024658203,914.43,3e-05,0.6725908517837524,13,369327,27629,1029125,420,,
2617.30253023,-31.68596649169922,916.66,3e-05,2.916733741760254,13,372727,27869,1032525,424,,
2651.82875228,-30.66146469116211,930.31,3e-05,0.6858018040657043,13,376727,28150,1036525,428,,
2662.56371862,-31.448734283447266,930.31,3e-05,5.202434539794922,13,380727,28445,1040525,432,,
2621.58455854,-30.984928131103516,921.46,3e-05,0.7138620018959045,13,383842,28676,1043640,436,,
2653.4805254000003,-31.139686584472656,931.09,3e-05,1.076261043548584,13,387842,28970,1047640,440,,
2664.97310755,-30.360671997070312,931.09,3e-05,0.7628358602523804,13,391842,29250,1051640,444,,
2657.1607842200006,-30.537487030029297,926.48,3e-05,0.6966159343719482,13,395648,29527,1055446,448,,
2660.49879832,-31.435043334960938,927.14,3e-05,2.0965895652770996,13,399648,29817,1059446,452,,
,-30.638452529907227,,3e-05,1.5323742628097534,,400000,,1059798,,2877.8995246000004,944.2
2642.2785355200003,-30.417692184448242,920.66,3e-05,0.856482744216919,13,403000,30402,1062798,456,,
2649.4896228000002,-30.126522064208984,920.66,3e-05,0.9207119941711426,13,407000,30687,1066798,460,,
2628.81343835,-30.619356155395508,911.9,3e-05,1.0492221117019653,13,410124,30916,1069922,464,,
2658.5788408599997,-31.00859832763672,920.72,3e-05,0.7922365069389343,13,414124,31200,1073922,468,,
2664.70828017,-30.55848503112793,921.56,3e-05,1.2235926389694214,13,418208,31503,1078006,472,,
2643.84143184,-31.227405548095703,913.06,3e-05,0.4884985387325287,13,421358,31743,1081156,476,,
2632.49967499,-31.178268432617188,904.33,3e-05,1.566663384437561,13,424485,31947,1084283,480,,
2700.1831612799997,-31.216249465942383,920.43,3e-05,1.0368319749832153,13,428485,32204,1088283,484,,
2743.8705066100006,-31.519962310791016,929.65,3e-05,1.2700369358062744,13,431897,32425,1091695,488,,
2785.5443071699997,-32.13368225097656,938.29,3e-05,0.8195458650588989,13,435897,32688,1095695,492,,
2721.5941611499998,-32.17616653442383,917.2,3e-05,1.8942348957061768,13,437788,32815,1097586,496,,
2729.6412826600003,-31.970394134521484,917.2,3e-05,10.887347221374512,13,441788,33083,1101586,500,,
2745.7357402299995,-31.99188232421875,921.86,3e-05,0.95856773853302,13,445513,33384,1105311,504,,
2719.78646439,-31.359619140625,915.26,3e-05,0.44573599100112915,13,448853,33628,1108651,508,,
2720.57545033,-32.028594970703125,915.26,3e-05,5.927239418029785,13,452853,33917,1112651,512,,
2709.1148361399996,-31.945396423339844,915.26,3e-05,1.207451343536377,13,456853,34199,1116651,516,,
2687.67120541,-32.57679748535156,908.43,3e-05,1.6415839195251465,13,460170,34440,1119968,520,,
2712.88615814,-30.912593841552734,914.43,3e-05,1.301224708557129,13,464170,34728,1123968,524,,
2697.1588666599987,-30.37723159790039,909.81,3e-05,4.166381359100342,13,467708,34989,1127506,528,,
2699.38812266,-31.270984649658203,909.81,3e-05,5.965846538543701,13,471708,35266,1131506,532,,
2723.5071801799995,-31.778310775756836,916.97,3e-05,0.6779264807701111,13,475539,35542,1135337,536,,
2723.4697587300006,-33.00768280029297,917.06,3e-05,2.19679594039917,13,479548,35828,1139346,540,,
2691.6107053799997,-30.984020233154297,909.21,3e-05,1.054843544960022,13,482763,36056,1142561,544,,
2673.1629126099997,-31.547182083129883,904.03,3e-05,1.0873470306396484,13,486051,36287,1145849,548,,
2625.1562139400003,-31.146194458007812,891.61,3e-05,4.231929779052734,13,488809,36490,1148607,552,,
2606.70857827,-31.903656005859375,887.31,3e-05,0.7475405931472778,13,491731,36699,1151529,556,,
2536.21841454,-32.25694274902344,866.27,3e-05,1.7878367900848389,13,493627,36835,1153425,560,,
2489.68855727,-31.927146911621094,852.82,3e-05,1.7235257625579834,13,495406,36964,1155204,564,,
2420.10284565,-30.91897201538086,830.01,3e-05,0.6394123435020447,13,497125,37092,1156923,568,,
2377.3211420999996,-32.77599334716797,813.88,3e-05,0.8641674518585205,13,499596,37277,1159394,572,,
,-31.906814575195312,,3e-05,3.7838425636291504,,500000,,1159798,,1683.06554,564.0
2395.1768826300004,-31.714195251464844,819.68,3e-05,1.4850201606750488,13,503326,37762,1163124,576,,
2402.1310504999997,-31.26584815979004,823.65,3e-05,1.345947504043579,13,506850,38018,1166648,580,,
2330.0370872500002,-31.270965576171875,804.05,3e-05,1.0106582641601562,13,508890,38168,1168688,584,,
2297.72140725,-32.2623176574707,800.29,3e-05,0.6805871725082397,13,511926,38392,1171724,588,,
