time/episodes,train/critic_loss,time/time_elapsed,train/n_updates,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
956,3.00644850730896,16354,172368,10,269.36,372.1817667099999,172469,0.0002,-17.47922134399414,,
960,4.877574443817139,16535,174318,10,284.44,403.75854005,174419,0.0002,-18.850534439086914,,
964,4.014093399047852,16710,176268,10,298.74,421.71266701,176369,0.0002,-18.18429183959961,,
968,7.624469757080078,16794,177155,10,297.05,421.75710313999997,177256,0.0002,-18.330778121948242,,
972,3.506809711456299,16848,177728,10,289.9,416.62544613,177829,0.0002,-19.322391510009766,,
976,4.068349361419678,16903,178434,10,291.96,423.12943028999996,178535,0.0002,-19.024253845214844,,
980,6.164834022521973,16941,178917,10,283.15,408.16013747,179018,0.0002,-18.6193904876709,,
984,4.507570266723633,17002,179714,10,276.52,402.47619977,179815,0.0002,-18.277992248535156,,
988,3.2011005878448486,17096,180853,10,284.88,418.60269335000004,180954,0.0002,-19.34302520751953,,
992,3.8817577362060547,17268,182891,10,304.55,451.80308997,182992,0.0002,-19.124549865722656,,
996,3.9307491779327393,17496,185718,10,318.51,499.11283662999995,185819,0.0002,-18.662065505981445,,
1000,2.9556031227111816,17573,186660,10,315.22,474.26083639999996,186761,0.0002,-18.65365219116211,,
1004,4.443387031555176,17748,188944,10,323.82,471.41745609000014,189045,0.0002,-18.67093276977539,,
1008,6.161347389221191,17871,190406,10,323.15,462.48014212000004,190507,0.0002,-18.7616024017334,,
1012,3.7870664596557617,17986,191776,10,330.42,465.84239747,191877,0.0002,-18.72715187072754,,
1016,3.063230514526367,18155,193870,10,339.91,478.02025854999994,193971,0.0002,-18.474563598632812,,
1020,5.32945442199707,18371,196625,10,358.16,475.48257235,196726,0.0002,-18.64321517944336,,
1024,3.233968734741211,18529,198482,10,353.15,445.68114247000005,198583,0.0002,-18.799732208251953,,
,2.278350353240967,,199899,,,,200000,0.0002,-19.60735321044922,371.8,270.30924100000004
1028,3.446564197540283,18864,200723,10,363.62,447.82166999000003,200824,0.0002,-17.943187713623047,,
1032,3.084768295288086,19025,202664,10,369.22,455.7764891700001,202765,0.0002,-19.63927459716797,,
1036,6.524613380432129,19197,204698,10,379.04,457.30628945999996,204799,0.0002,-18.70186996459961,,
1040,2.6320607662200928,19335,206293,10,386.86,458.57793821,206394,0.0002,-18.11748504638672,,
1044,3.6298179626464844,19490,208235,10,388.11,453.47293401999997,208336,0.0002,-17.61649513244629,,
1048,3.183886766433716,19632,209976,10,393.58,469.86091187,210077,0.0002,-19.291410446166992,,
1052,4.020538806915283,19860,212491,10,410.79,482.24908268,212592,0.0002,-17.45781707763672,,
1056,4.50518798828125,19965,213723,10,413.55,489.0952233599999,213824,0.0002,-20.33612060546875,,
1060,4.852205276489258,20049,214746,10,404.28,472.9216731800001,214847,0.0002,-20.512134552001953,,
1064,2.8976075649261475,20173,215951,10,396.83,473.53722177,216052,0.0002,-19.42209243774414,,
1068,2.933471441268921,20246,216860,10,397.05,472.22093564999994,216961,0.0002,-18.758710861206055,,
1072,2.4909894466400146,20431,219094,10,413.66,503.9639728899999,219195,0.0002,-19.762527465820312,,
1076,2.716695785522461,20563,220728,10,422.94,519.03222246,220829,0.0002,-19.783510208129883,,
1080,4.437644004821777,20693,222212,10,432.95,538.18753984,222313,0.0002,-17.96172332763672,,
1084,2.283689260482788,20848,224034,10,443.2,539.9550900099999,224135,0.0002,-19.989219665527344,,
1088,1.5364505052566528,20988,225753,10,449.0,551.27994164,225854,0.0002,-19.939781188964844,,
1092,3.584648847579956,21133,227275,10,443.84,536.8129658199999,227376,0.0002,-18.955894470214844,,
1096,2.21968674659729,21255,228481,10,427.63,501.81465589999993,228582,0.0002,-18.91469955444336,,
1100,3.287400960922241,21326,229236,10,425.76,499.9911672,229337,0.0002,-19.26654052734375,,
1104,4.5882720947265625,21427,230334,10,413.9,502.5812246400001,230435,0.0002,-19.29843521118164,,
1108,2.097543716430664,21536,231525,10,411.19,489.61687328,231626,0.0002,-18.720748901367188,,
