time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
112,23191,229376,9,63.27,61.602575879999996,1110,0.3,0.3767193555831909,-0.8852929562330246,0.021310948822065256,0.27406250312924385,0.6857296228408813,0.00038181376,17.815317153930664,0.070397474,35.091073989868164,,
113,23356,231424,9,71.54,77.10252600000001,1120,0.3,0.3769882619380951,-0.8860116183757782,-0.012404010570608071,0.11860677353106439,0.7465065717697144,0.00038164992000000003,11.007392883300781,0.02784889,27.525142765045167,,
114,23517,233472,9,77.89,91.23266783000001,1130,0.3,0.36636728048324585,-0.8280324697494507,0.0004356638091849163,0.20097656843136064,0.7880154848098755,0.00038148608,10.850190162658691,0.07997141,21.446272373199463,,
115,23710,235520,9,85.22,108.42090623999998,1140,0.3,0.3667202293872833,-0.8306586861610412,-0.008026088860497115,0.09782552309334278,0.8323779255151749,0.00038132224,8.849720001220703,0.017246747,23.266913414001465,,
116,23881,237568,9,93.27,124.33534118000001,1150,0.3,0.36711785197257996,-0.8323722958564759,0.008213509499328175,0.18186198198236525,0.7374182045459747,0.0003811584,13.824749946594238,0.038330603,29.697300243377686,,
117,24053,239616,9,102.01,146.62699622000002,1160,0.3,0.3675220310688019,-0.8349967420101165,0.0035942295596760763,0.17480469178408384,0.6755771934986115,0.00038099456,16.827640533447266,0.021038426,33.98788051605224,,
,,240000,,,,1170,0.3,0.3671818673610687,-0.8353822648525238,-0.002442033593833859,0.14278646241873502,0.8115432560443878,0.00038083072,11.815435409545898,0.048664354,23.236973762512207,478.66833249945194,226.4
118,24297,241664,9,101.11,152.12234128,,,,,,,,,,,,,
119,24455,243712,9,108.47,167.72562577,1180,0.3,0.35596224665641785,-0.7729429334402085,-0.005484244823674089,0.13576823116163722,0.7444352507591248,0.00038066688000000005,13.802852630615234,0.039748475,31.173869037628172,,
120,24605,245760,9,109.69,171.51468387,1190,0.3,0.35570430755615234,-0.7712956190109252,-0.007825638909707777,0.18524739891290665,0.807624489068985,0.00038050304000000003,7.783806324005127,0.049803667,18.589302158355714,,
121,24765,247808,10,106.13,165.58949173000002,1200,0.3,0.3556979298591614,-0.77027927339077,-0.0018054896610555816,0.15042969081550836,0.7977516055107117,0.0003803392,12.626534461975098,0.033786375,23.579049491882323,,
