train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0003,7.173189640045166,10,38019,38120,364,-10.847917556762695,199.13,3581,12.332141109999995,,
0.0003,6.1562700271606445,10,39212,39313,368,-11.362070083618164,196.9,3692,16.70266108,,
0.0003,7.77642822265625,10,40218,40319,372,-12.23829174041748,191.91,3785,18.194791199999997,,
0.0003,6.156528472900391,10,41620,41721,376,-12.809280395507812,183.1,3924,37.35616346,,
0.0003,4.688174247741699,10,42103,42204,380,-11.731689453125,186.1,3964,40.76845613,,
0.0003,6.432199478149414,10,43261,43362,384,-11.93324089050293,190.24,4064,49.37334415,,
0.0003,4.574653148651123,10,44726,44827,388,-11.873672485351562,193.3,4175,56.51639282,,
0.0003,5.171957015991211,10,46494,46595,392,-13.881072998046875,197.29,4311,81.51046982999999,,
0.0003,5.274582386016846,10,48125,48226,396,-12.928888320922852,210.49,4440,94.72833971,,
0.0003,6.341594696044922,10,49230,49331,400,-12.256668090820312,215.66,4527,96.63622801,,
0.0003,4.922824859619141,10,50721,50822,404,-12.059940338134766,225.21,4647,108.57693097999999,,
0.0003,9.579768180847168,10,50779,50880,408,-12.927597999572754,223.95,4655,108.63902973999998,,
0.0003,5.59831428527832,10,52627,52728,412,-13.696282386779785,241.21,4822,127.65714368999997,,
0.0003,8.249131202697754,10,54556,54657,416,-14.231508255004883,256.58,4991,144.25634256,,
0.0003,3.7254600524902344,10,56335,56436,420,-12.301769256591797,272.82,5153,175.29332804,,
0.0003,5.858762741088867,10,57898,57999,424,-14.165389060974121,274.27,5284,173.35689486000004,,
0.0003,5.574723720550537,11,60167,60268,428,-14.433670997619629,289.47,5477,205.85005421000002,,
0.0003,4.674050807952881,11,61702,61803,432,-12.824044227600098,300.56,5590,223.2392298,,
0.0003,6.316229820251465,11,62724,62825,436,-13.424589157104492,293.91,5672,228.72757408000004,,
0.0003,9.64239501953125,11,65263,65364,440,-14.915910720825195,311.24,5866,237.00034680000002,,
0.0003,3.298893451690674,11,67541,67642,444,-14.884389877319336,329.62,6044,262.52909229,,
0.0003,4.568073272705078,11,70818,70919,448,-14.708632469177246,358.33,6304,293.20065963,,
0.0003,6.013586521148682,11,72111,72212,452,-12.949013710021973,361.69,6409,315.20447534,,
0.0003,6.333942890167236,11,73547,73648,456,-14.603718757629395,368.62,6537,345.77668139,,
0.0003,5.060946941375732,11,73797,73898,460,-14.729455947875977,364.0,6561,337.78551064,,
0.0003,3.3264408111572266,11,76312,76413,464,-15.161691665649414,382.93,6785,378.76242396999993,,
0.0003,5.243305206298828,11,77005,77106,468,-14.633228302001953,377.93,6850,371.78417608999996,,
0.0003,3.6869287490844727,11,79600,79701,472,-15.219669342041016,393.82,7071,409.302071,,
0.0003,4.060150146484375,11,80882,80983,476,-14.417373657226562,392.62,7196,409.96330692000004,,
0.0003,7.765290260314941,11,83378,83479,480,-14.77252197265625,412.75,7429,438.71929429999994,,
0.0003,5.886643409729004,11,83789,83890,484,-16.091495513916016,405.28,7468,427.04546010000007,,
0.0003,5.035878658294678,11,87319,87420,488,-15.854846954345703,425.93,7781,475.0671825,,
0.0003,5.973955154418945,11,88701,88802,492,-17.986919403076172,422.07,7892,473.5437469100001,,
0.0003,5.873197555541992,11,92260,92361,496,-17.333402633666992,441.35,8193,520.4909629900001,,
0.0003,5.383861064910889,11,94629,94730,500,-16.93143653869629,453.99,8399,526.5511378799999,,
0.0003,6.1854329109191895,11,98629,98730,504,-16.171798706054688,479.08,8716,567.22409133,,
0.0003,3.7356133460998535,,99899,100000,,-17.260866165161133,,,,504.7195602,863.4
0.0003,6.072868347167969,10,101021,101122,508,-14.80344009399414,502.42,9237,564.6230503900001,,
0.0003,4.249717712402344,11,105021,105122,512,-17.029460906982422,523.94,9555,612.82159698,,
0.0003,4.556845664978027,11,107675,107776,516,-17.331361770629883,531.19,9752,628.0126305900001,,
0.0003,3.19673490524292,11,110807,110908,520,-17.968042373657227,544.72,10015,657.01349883,,
0.0003,2.6490468978881836,11,113345,113446,524,-18.091594696044922,554.47,10247,678.50938142,,
0.0003,2.962106466293335,11,114130,114231,528,-18.380144119262695,539.63,10324,658.0250662899999,,
0.0003,3.6813604831695557,11,116309,116410,532,-18.674476623535156,546.07,10522,673.1787966400001,,
0.0003,3.2174086570739746,11,118135,118236,536,-18.94676971435547,554.11,10689,691.32669905,,
0.0003,2.174830436706543,11,121389,121490,540,-18.70301055908203,561.26,10982,749.8037879199999,,
0.0003,3.051541328430176,11,124698,124799,544,-18.24132537841797,571.57,11299,780.1390212700001,,
0.0003,2.65706205368042,11,127759,127860,548,-20.377307891845703,569.41,11546,824.42088695,,
0.0003,3.1628077030181885,11,130947,131048,552,-19.591480255126953,588.36,11801,864.4026765800002,,
0.0003,5.166107654571533,11,132120,132221,556,-20.178691864013672,585.73,11897,872.8660920200001,,
0.0003,1.9868955612182617,11,134612,134713,560,-20.33875274658203,608.15,12092,928.93738205,,
0.0003,3.8187124729156494,11,138612,138713,564,-19.12826919555664,623.0,12404,982.20034831,,
0.0003,2.9481632709503174,11,142612,142713,568,-20.909564971923828,656.07,12720,1070.2825909700002,,
0.0003,3.134260416030884,11,146413,146514,572,-21.432371139526367,668.13,13069,1104.70704017,,
0.0003,1.5139739513397217,11,149519,149620,576,-23.8687744140625,686.37,13358,1158.39191248,,
0.0003,2.219092607498169,11,152929,153030,580,-23.581680297851562,695.51,13665,1172.02911261,,
0.0003,1.9846901893615723,11,155996,156097,584,-23.193628311157227,722.07,13946,1237.41596654,,
0.0003,1.3386238813400269,11,158603,158704,588,-23.7403564453125,712.84,14197,1239.64468443,,
0.0003,1.947103500366211,11,162301,162402,592,-22.004209518432617,736.0,14537,1289.68621214,,
0.0003,2.978126049041748,11,165309,165410,596,-24.096153259277344,730.49,14818,1285.06964966,,
0.0003,2.19205379486084,11,168031,168132,600,-23.48105239868164,734.02,15076,1325.6016735900002,,
0.0003,2.7017502784729004,11,171148,171249,604,-24.302722930908203,725.19,15361,1344.45182604,,
0.0003,1.864461898803711,11,175116,175217,608,-24.6669921875,740.95,15733,1409.56528237,,
0.0003,3.4562909603118896,11,178237,178338,612,-23.866186141967773,732.16,16012,1402.5454821000003,,
0.0003,2.0010366439819336,11,180733,180834,616,-25.141292572021484,730.58,16237,1421.3262585000002,,
0.0003,3.194936990737915,11,183536,183637,620,-24.526201248168945,727.29,16491,1412.3627267599995,,
0.0003,1.106285572052002,11,185338,185439,624,-25.688819885253906,719.93,16628,1394.13617147,,
0.0003,4.719757080078125,11,187946,188047,628,-24.16283416748047,738.16,16840,1418.90388223,,
0.0003,2.1790835857391357,11,191471,191572,632,-23.21485137939453,751.62,17115,1401.7437209500004,,
0.0003,1.4694875478744507,11,195471,195572,636,-23.15109634399414,773.36,17437,1477.7373993699998,,
0.0003,1.0344393253326416,11,198904,199005,640,-23.40837860107422,775.15,17711,1496.15180251,,
0.0003,1.0212303400039673,,199899,200000,,-24.62842559814453,,,,2852.3369516,921.8
0.0003,1.9671545028686523,11,203279,203380,644,-24.303749084472656,785.81,18464,1539.2990040799996,,
0.0003,1.4601658582687378,11,205341,205442,648,-25.978166580200195,775.82,18646,1516.2368673699998,,
0.0003,1.4408808946609497,11,208591,208692,652,-26.481887817382812,776.44,18923,1543.74413791,,
0.0003,1.117161512374878,11,210571,210672,656,-25.607501983642578,784.51,19100,1561.3891222999998,,
0.0003,4.750893592834473,11,213178,213279,660,-25.581993103027344,785.66,19341,1567.9756876200001,,
0.0003,5.243345260620117,11,216730,216831,664,-24.813148498535156,781.18,19658,1507.89093631,,
0.0003,2.2452003955841064,11,220484,220585,668,-24.928478240966797,778.72,20002,1503.1376452900001,,
0.0003,6.444178581237793,11,223550,223651,672,-26.378450393676758,771.37,20294,1495.2790320099998,,
0.0003,1.5975563526153564,11,227006,227107,676,-25.442644119262695,774.87,20603,1510.0757676400003,,
0.0003,3.8874258995056152,11,229150,229251,680,-26.313919067382812,762.21,20793,1510.79469723,,
0.0003,0.9820330142974854,11,233150,233251,684,-25.43875503540039,771.54,21156,1540.6704440900003,,
0.0003,1.66550612449646,11,235597,235698,688,-25.442935943603516,769.94,21398,1529.3706654,,
0.0003,4.315093040466309,11,238497,238598,692,-26.267099380493164,761.96,21666,1521.0441101099998,,
0.0003,1.5467422008514404,11,242205,242306,696,-25.46356201171875,768.96,22010,1562.86279278,,
0.0003,1.4724047183990479,11,245791,245892,700,-25.719003677368164,777.6,22345,1586.9006788600004,,
0.0003,1.142391562461853,11,249791,249892,704,-24.709651947021484,786.43,22710,1620.75244154,,
0.0003,1.2015817165374756,11,253791,253892,708,-24.571273803710938,786.75,23068,1664.02441013,,
0.0003,1.145051121711731,11,257791,257892,712,-27.413681030273438,795.54,23423,1716.4074692199997,,
0.0003,1.344764232635498,11,261791,261892,716,-25.422605514526367,810.58,23796,1779.80937072,,
0.0003,2.6330342292785645,11,265202,265303,720,-26.796344757080078,816.66,24102,1805.0986177999998,,
0.0003,1.2773749828338623,11,268585,268686,724,-27.606748580932617,832.47,24418,1886.9906669000006,,
0.0003,1.016160249710083,11,272585,272686,728,-27.60662078857422,846.39,24774,1965.8007267000003,,
0.0003,1.1023895740509033,11,275963,276064,732,-26.230178833007812,844.92,25077,2014.6338631600001,,
0.0003,1.453566074371338,11,279127,279228,736,-26.484508514404297,836.56,25372,1993.3880158099998,,
0.0003,1.0098321437835693,11,281799,281900,740,-26.595178604125977,828.95,25624,1982.5028712400003,,
0.0003,4.902266979217529,11,285450,285551,744,-27.310462951660156,821.71,25947,1981.6252852300001,,
0.0003,3.7513375282287598,11,286053,286154,748,-29.316085815429688,807.12,26005,1939.5461767400002,,
0.0003,5.347246170043945,11,286380,286481,752,-29.174245834350586,777.89,26037,1861.8809622600002,,
0.0003,4.723582744598389,11,288012,288113,756,-28.492380142211914,774.41,26184,1857.6134956000003,,
0.0003,0.843075156211853,11,291666,291767,760,-28.048477172851562,784.88,26519,1898.5686703200004,,
0.0003,1.3988242149353027,11,295072,295173,764,-29.425222396850586,783.42,26822,1961.6812941899998,,
0.0003,1.0418678522109985,11,297459,297560,768,-28.701583862304688,769.75,27038,1936.3509848299996,,
0.0003,1.3553656339645386,,299899,300000,,-29.238327026367188,,,,1215.2615150000001,429.4
0.0003,0.7842990756034851,10,300179,300280,772,-28.40721893310547,766.29,27481,1924.3524558899999,,
0.0003,1.9202687740325928,10,302112,302213,776,-28.59649085998535,751.06,27650,1892.8815439600003,,
0.0003,1.6379101276397705,10,306112,306213,780,-28.627315521240234,769.62,28019,1966.74881846,,
0.0003,1.55668306350708,10,307790,307891,784,-27.933208465576172,746.4,28181,1889.2912896699997,,
0.0003,1.842543363571167,10,311790,311891,788,-28.742584228515625,761.93,28535,1911.6432867999997,,
0.0003,0.659970760345459,10,315577,315678,792,-29.44969367980957,770.8,28853,1961.44303472,,
0.0003,1.0212920904159546,10,318284,318385,796,-28.453079223632812,760.79,29093,1944.8213835699999,,
0.0003,1.2757892608642578,10,320301,320402,800,-27.988740921020508,745.1,29273,1927.9404960900001,,
0.0003,5.249053478240967,10,322345,322446,804,-28.883119583129883,725.54,29472,1871.14911557,,
0.0003,2.3687584400177,10,324869,324970,808,-27.645530700683594,710.78,29706,1839.12622875,,
0.0003,4.592624664306641,10,328345,328446,812,-29.24371337890625,705.54,30026,1813.1779688800004,,
0.0003,5.0107808113098145,10,331279,331380,816,-29.860984802246094,694.88,30299,1777.1100873900004,,
0.0003,1.0747514963150024,10,334389,334490,820,-29.908660888671875,691.87,30590,1793.1178275800003,,
0.0003,1.356726884841919,10,337793,337894,824,-29.888763427734375,692.08,30924,1787.33082088,,
0.0003,1.1234185695648193,10,341793,341894,828,-29.29492950439453,692.08,31297,1796.49166853,,
0.0003,1.0082122087478638,10,344806,344907,832,-30.266056060791016,688.43,31579,1807.4255259799997,,
0.0003,1.2454490661621094,10,348838,348939,836,-30.21118927001953,697.11,31960,1823.4766227999996,,
0.0003,0.9300692081451416,10,351849,351950,840,-28.967483520507812,700.5,32233,1849.8556154399996,,
0.0003,0.5621474981307983,10,355849,355950,844,-30.19148063659668,703.99,32631,1827.8498694599998,,
0.0003,1.796703577041626,10,358862,358963,848,-28.126426696777344,728.09,32917,1903.37023028,,
0.0003,1.1064167022705078,10,362140,362241,852,-30.758594512939453,757.6,33230,1994.9479877299996,,
0.0003,1.1783545017242432,10,366140,366241,856,-30.279634475708008,781.28,33611,2073.3723820200003,,
0.0003,0.5184454917907715,10,369148,369249,860,-30.069379806518555,774.82,33858,2067.01004324,,
0.0003,0.9417972564697266,10,371602,371703,864,-30.15747833251953,765.3,34064,2049.3376693299997,,
0.0003,0.6985743045806885,10,374627,374728,868,-30.93299674987793,771.68,34316,2080.4360080300003,,
0.0003,0.5815948247909546,10,377730,377831,872,-29.852767944335938,775.51,34573,2097.7323930800003,,
0.0003,5.019411087036133,10,381421,381522,876,-30.844974517822266,793.09,34869,2147.91552118,,
0.0003,1.6953386068344116,10,385421,385522,880,-30.711977005004883,793.09,35208,2161.59879907,,
0.0003,0.6770736575126648,10,388451,388552,884,-30.28282928466797,806.61,35466,2235.29394204,,
0.0003,0.5484927892684937,10,390862,390963,888,-31.425363540649414,790.72,35698,2228.8663510900005,,
0.0003,0.6607055068016052,10,393308,393409,892,-30.235244750976562,777.31,35920,2169.6421190099995,,
0.0003,1.1582045555114746,10,395994,396095,896,-30.434913635253906,777.1,36158,2168.36019389,,
0.0003,0.5957944989204407,10,398024,398125,900,-29.35556411743164,777.23,36342,2165.1058790599996,,
0.0003,0.49380311369895935,,399899,400000,,-30.229612350463867,,,,546.2870025999999,340.4
0.0003,0.7219079732894897,10,401398,401499,904,-31.004940032958984,790.53,36830,2169.00315442,,
0.0003,1.1601139307022095,10,404663,404764,908,-29.551942825317383,797.94,37137,2185.2207871600003,,
0.0003,0.7275274395942688,10,408663,408764,912,-28.561553955078125,803.18,37507,2186.27207906,,
0.0003,1.0475375652313232,10,411672,411773,916,-29.66298484802246,803.93,37805,2185.60059768,,
0.0003,0.8863486051559448,10,415672,415773,920,-30.543010711669922,812.83,38179,2215.88718814,,
0.0003,1.1715319156646729,10,417987,418088,924,-29.989402770996094,801.94,38395,2198.0174066600002,,
0.0003,0.6318677663803101,10,421018,421119,928,-30.510204315185547,792.25,38649,2176.81044941,,
0.0003,4.582876682281494,10,425018,425119,932,-31.377208709716797,802.12,38979,2233.51727359,,
0.0003,5.044435024261475,10,429018,429119,936,-30.719985961914062,801.8,39311,2209.32406619,,
0.0003,0.6116477251052856,10,433018,433119,940,-30.17913246154785,811.69,39624,2247.66444506,,
0.0003,0.5009853839874268,10,436133,436234,944,-30.817127227783203,802.84,39884,2270.06139018,,
0.0003,4.297354221343994,10,439569,439670,948,-30.394338607788086,807.07,40193,2294.7455670699997,,
0.0003,3.8833882808685303,10,442801,442902,952,-30.412437438964844,806.61,40460,2296.6041044099998,,
0.0003,0.7263078689575195,10,444295,444396,956,-31.055438995361328,781.55,40600,2213.7233650000003,,
0.0003,0.9404819011688232,10,446823,446924,960,-30.548240661621094,776.75,40834,2184.3089749700002,,
0.0003,0.6486464738845825,10,450719,450820,964,-31.491580963134766,791.17,41187,2208.72475722,,
0.0003,5.358077049255371,10,452844,452945,968,-31.751201629638672,782.17,41384,2169.34693588,,
0.0003,0.5878457427024841,10,456617,456718,972,-31.58301544189453,788.87,41729,2210.12781897,,
0.0003,0.5289527773857117,10,459720,459821,976,-31.589500427246094,782.99,42020,2195.3080409800004,,
0.0003,3.688101291656494,10,461834,461935,980,-32.12397766113281,764.13,42213,2115.91011887,,
0.0003,0.5936634540557861,10,464846,464947,984,-32.710357666015625,763.95,42500,2108.45941504,,
